0000-00-00 0
2020-01-05 1 +1
2020-01-07 3 +2
2020-01-07 5 +2
2020-01-08 15 +10
2020-01-08 -10 -25
2020-01-11 -11 -1
2020-01-12 -6 +5
2020-01-17 -3 +3
2020-01-21 -2 +1
2020-01-29 -3 -1
2020-01-30 -2 +1
2020-01-31 -6 -4
2020-02-03 -4 +2
2020-02-12 -5 -1
2020-02-20 -4 +1
2020-02-20 -6 -2
2020-03-02 -3 +3
2020-03-02 -2 +1
2020-03-02 -5 -3
2020-03-16 -4 +1
2020-03-16 -6 -2
2020-03-16 0 +6
2020-03-16 1 +1
2020-04-10 -2 -3
2020-04-16 -3 -1
2020-04-16 -7 -4
2020-04-20 -8 -1
2020-04-20 -7 +1
2020-05-05 -8 -1
2020-05-05 -10 -2
2020-05-14 -12 -2
2020-06-02 -14 -2
2020-06-02 -13 +1
2020-06-09 -16 -3
2020-06-09 -15 +1
2020-06-22 -16 -1
2020-06-22 -14 +2
2020-06-22 -17 -3
2020-07-03 -18 -1
2020-07-03 -20 -2
2020-07-03 -21 -1
2020-07-03 -22 -1
2020-07-06 -17 +5
2020-07-06 -18 -1
2020-07-13 -17 +1
2020-07-15 -19 -2
2020-07-26 -14 +5
2020-08-03 -13 +1
